"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N","HasSafetyRec","ReportType","OriginalPublishDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","DocketUrl","DocketPublishDate",
"DCA24WA114","INC","193863","2024-02-24T22:06:00Z","Charleroi","","Belgium","","EI-DYC","FALSE","None","","None","0","0","0","","","50.460789","4.45945","BOEING","737","AIR","","Brussels South Airport","FALSE","2","","","NUSC","Minor","","Ryanair","N/A","FALSE","","",
"DCA24WA107","INC","193844","2024-02-21T19:29:00Z","Tapachula","","Mexico","","XA-ADU, N421RN","FALSE","None","","","0","0","0","","","0","0","BOEING, CESSNA","737, 421C","AIR,AIR","","","FALSE,FALSE",",2","",",","NUSC,UNK","None,None","",",","N/A","FALSE","","",
"DCA24WA102","ACC","193810","2024-02-18T23:55:00Z","Bogotá","","Colombia","","N176DZ","FALSE","None","","Serious","0","1","1","","","4.701389","-74.146944","BOEING","767-332","AIR","","","FALSE","2","SCHD","","121","None","","DELTA AIR LINES INC","N/A","FALSE","","",
"DCA24WA096","INC","193775","2024-02-11T00:55:00Z","Abu Dhabi","","United Arab Emirates","","A6-ETP","FALSE","None","","None","0","0","0","","","24.433001","54.6511","BOEING","777-3FX (ER)","AIR","","","FALSE","","","","NUSC","None","","","N/A","FALSE","","",
"DCA24LA095","INC","193772","2024-02-10T20:42:00Z","Dallas","Texas","United States","","N991AN","FALSE","DirectorBrief","","None","0","0","0","","","32.896801","-97.038002","BOEING","737-823","AIR","DFW","Dallas Fort Worth International Airport","FALSE","2","SCHD","","121","Minor","VMC","AMERICAN AIRLINES INC","In work","FALSE","","",
"DCA24LA097","ACC","193784","2024-02-10T16:43:00Z","Kelsey","New York","United States","","N788UA","FALSE","DirectorBrief","","Serious","0","2","1","","","42.063057","-75.316284","BOEING","777-222","AIR","","","FALSE","2","SCHD","","121","None","","UNITED AIRLINES INC","In work","FALSE","","",
"DCA24LA094","INC","193768","2024-02-06T16:55:00Z","Newark","New Jersey","United States","","N47280","FALSE","DirectorBrief","","None","0","0","0","","","40.692501","-74.168701","BOEING","737-8","AIR","EWR","Newark Liberty International Airport","FALSE","2","SCHD","FLTS","121","None","VMC","UNITED AIRLINES INC","In work","FALSE","","",
"DCA24WA090","INC","193762","2024-02-05T05:37:00Z","Singapore","","Senegal","","9V-OJH, HL7209","FALSE","None","","","0","0","0","","","1.35019","103.994003","BOEING, BOEING","787, 787","AIR,AIR","WSSS","Singapore Changi Airport","FALSE,FALSE",",","",",","NUSC,NUSC","None,None","","SCOOT,Korean Air","N/A","FALSE","","",
"DCA24WA103","INC","193816","2024-02-01T21:13:00Z","Auckland","","New Zealand","","ZK-NZF","FALSE","None","","","0","0","0","","","0","0","BOEING","787","AIR","","","FALSE","","","","NUSC","None","","","N/A","FALSE","","",
"DCA24WA087","ACC","193738","2024-02-01T02:08:00Z","Tokoname","","Japan","","JA899A","FALSE","None","","Serious","0","1","0","","","34.858333","136.805278","BOEING","787","AIR","","","FALSE","2","SCHD","","NUSC","None","","All Nippon Airways","N/A","FALSE","","",
"DCA24WA113","OCC","193855","2024-01-21T03:43:00Z","Vancouver","","Canada","","N87512","FALSE","None","","","0","0","0","","","0","0","BOEING","737-824","AIR","","","FALSE","2","","","121","None","","","N/A","FALSE","","",
"DCA24LA079","INC","193682","2024-01-18T23:34:00Z","Miami","Florida","United States","","N859GT","FALSE","DirectorBrief","","None","0","0","0","","","25.786095","-80.314838","BOEING","747-87UF","AIR","","","FALSE","4","NSCH","","121","Minor","VMC","ATLAS AIR INC","In work","FALSE","","",
"DCA24WA072","INC","193656","2024-01-14T00:12:00Z","Muscat","","Oman","","9V-SWX","FALSE","None","","","0","0","0","","","0","0","BOEING","777","AIR","","","FALSE","","","","NUSC","None","","","N/A","FALSE","","",
"DCA24LA065","ACC","193637","2024-01-10T12:06:00Z","Houston","Texas","United States","","N62883","FALSE","DirectorBrief","","","0","0","0","","","29.990092","-95.340603","BOEING","737","AIR","","","FALSE","","SCHD","","121","Substantial","","UNITED AIRLINES INC","In work","FALSE","","",
"DCA24WA086","INC","193726","2024-01-09T06:25:00Z","Katunayake","","Sri Lanka","","4R-ALS, A6-FME","FALSE","None","","","0","0","0","","","7.181111","79.883611","AIRBUS, BOEING","A330, 737","AIR,AIR","","","FALSE,FALSE","2,2","SCHD",",","NUSC,NUSC","None,None","","Sri Lankan Airlines,Fly Dubai","N/A","FALSE","","",
"DCA24WA106","INC","193842","2024-01-08T12:30:00Z","Barcelona","","Spain","","D-AGWD, A6-EWE","FALSE","None","","","0","0","0","","","0","0","AIRBUS, BOEING","A319, 777","AIR,AIR","","","FALSE,FALSE",",","",",","NUSC,NUSC","None,None","",",","N/A","FALSE","","",
"DCA24WA071","ACC","193655","2024-01-06T02:28:00Z","Mar del Plata","","Argentina","","LV-KJE","FALSE","None","","","0","0","0","","","0","0","BOEING","737","AIR","","","FALSE","","","","NUSC","Substantial","","","N/A","FALSE","","",
"DCA24MA063","ACC","193617","2024-01-05T18:14:00Z","Portland","Oregon","United States","","N704AL","FALSE","DirectorBrief","","None","0","0","0","","","45.454167","-122.75555","BOEING","737-9","AIR","","","FALSE","2","SCHD","","121","Substantial","VMC","ALASKA AIRLINES INC","In work","FALSE","","",
"DCA24WA070","INC","193654","2024-01-03T23:25:00Z","Copenhagen","","Denmark","","9H-QEN","FALSE","None","","","0","0","0","","","0","0","BOEING","737","AIR","","","FALSE","","","","NUSC","None","","","N/A","FALSE","","",
"DCA24WA057","OCC","193600","2024-01-02T02:00:00Z","Dhaka","","Bangladesh","","S2-AJA, S2-AJG","FALSE","None","","","0","0","0","","","0","0","Boeing, BOEING","737, 737","AIR,AIR","","","FALSE,FALSE",",","SCHD",",","129,129","Minor,Substantial","","U.S Bangla Airlines,Us- Bangla Airlines","N/A","FALSE","","",
"DCA24WA060","INC","193609","2023-12-23T05:00:00Z","Sydney","","Australia","","VH-VOL","FALSE","None","","","0","0","0","","","0","0","BOEING","737","AIR","","","FALSE","","SCHD","","129","None","","Virgin Australia","N/A","FALSE","","",
